feeder_id,cnc,substation_id,substation_name,substation_lat,substation_lon,feeder_age_years,vegetation_encroachment_score,protection_equipment_age,peak_load_pct,load_growth_rate,historical_outage_count_1yr,outage_within_7_days
F001,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.77781,30.12869,35.5,0.384,7.0,0.193,0.035,0,0
F002,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93689,30.26358,18.8,0.303,14.9,0.214,0.034,1,0
F003,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96088,30.2696,25.3,0.286,4.5,0.358,0.0,0,0
F004,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.92055,30.26731,11.6,0.059,15.4,0.463,0.075,2,0
F005,Xihoko,SS-XHK-01,Xihoko Substation 1,-23.78086,30.36922,19.4,0.277,8.8,0.194,0.043,1,0
F006,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.77781,30.12869,25.4,0.444,8.3,0.88,0.037,1,1
F007,Politsi,SS-PLT-01,Politsi Substation 1,-23.79598,30.06514,8.7,0.301,13.4,0.199,0.07,0,0
F008,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82569,30.16595,23.7,0.379,14.6,0.216,0.0,1,0
F009,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,-23.72032,30.12139,8.4,0.157,14.9,0.777,0.039,1,0
F010,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.71922,30.37233,19.2,0.226,15.4,0.363,0.025,0,0
F011,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00606,29.92924,23.9,0.293,6.1,0.406,0.083,1,0
F012,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,-23.72032,30.12139,10.6,0.108,10.5,0.34,0.034,0,0
F013,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96088,30.2696,3.5,0.192,8.3,0.334,0.062,1,0
F014,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.77781,30.12869,8.1,0.22,14.6,0.549,0.007,0,0
F015,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,-23.86441,30.37934,35.4,0.341,6.6,0.301,0.054,3,0
F016,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.90369,30.24278,12.3,0.432,7.4,0.776,0.052,0,1
F017,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95219,30.30323,14.2,0.363,0.8,0.396,0.089,0,0
F018,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.71922,30.37233,17.9,0.285,30.0,0.602,0.083,0,1
F019,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95046,30.37025,26.8,0.344,5.5,0.885,0.025,3,1
F020,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00606,29.92924,18.0,0.391,1.6,0.449,0.08,2,1
F021,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,-23.72032,30.12139,22.5,0.602,2.9,0.72,0.04,3,1
F022,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80663,30.19427,21.0,0.466,5.6,0.443,0.075,1,0
F023,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,10.0,0.161,17.9,0.408,0.044,1,0
F024,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80663,30.19427,13.1,0.628,17.5,0.609,0.043,2,0
