feeder_id,outage_risk_score,risk_tier,risk_tier_order,status,alert_flag,top_reasons
F072,96.3,emergency,4,Emergency,1,"high vegetation_encroachment_score, high feeder_age_years, high emergency_transformer_count"
F281,95.7,emergency,4,Emergency,1,"high vegetation_encroachment_score, high feeder_age_years, high protection_equipment_age"
F209,92.1,emergency,4,Emergency,1,"high feeder_age_years, high peak_load_pct, high emergency_transformer_count"
F484,91.0,emergency,4,Emergency,1,"high load_growth_rate, high vegetation_encroachment_score, high peak_load_pct"
F277,90.8,emergency,4,Emergency,1,"high feeder_age_years, high peak_load_pct, high emergency_transformer_count"
F208,90.8,emergency,4,Emergency,1,"high historical_outage_count_1yr, high protection_equipment_age, high peak_load_pct"
F131,90.6,emergency,4,Emergency,1,"high feeder_age_years, high peak_load_pct, high vegetation_encroachment_score"
F237,90.3,emergency,4,Emergency,1,"high feeder_age_years, high peak_load_pct, high historical_outage_count_1yr"
F091,89.3,emergency,4,Emergency,1,"high vegetation_encroachment_score, high peak_load_pct, high historical_outage_count_1yr"
F182,89.3,emergency,4,Emergency,1,"high feeder_age_years, high load_growth_rate, high protection_equipment_age"
F075,89.2,emergency,4,Emergency,1,"high feeder_age_years, high peak_load_pct, high historical_outage_count_1yr"
F331,89.0,emergency,4,Emergency,1,"high vegetation_encroachment_score, high feeder_age_years, high load_growth_rate"
F233,89.0,emergency,4,Emergency,1,"high historical_outage_count_1yr, high peak_load_pct, high emergency_transformer_count"
F216,88.7,emergency,4,Emergency,1,"high vegetation_encroachment_score, high feeder_age_years, high historical_outage_count_1yr"
F446,88.4,emergency,4,Emergency,1,"high vegetation_encroachment_score, high peak_load_pct, high historical_outage_count_1yr"
F477,87.9,emergency,4,Emergency,1,"high vegetation_encroachment_score, high peak_load_pct, high emergency_transformer_count"
F213,87.9,emergency,4,Emergency,1,"high emergency_transformer_count, high feeder_age_years, high protection_equipment_age"
F474,87.7,emergency,4,Emergency,1,"high feeder_age_years, high peak_load_pct, high load_growth_rate"
F085,86.3,emergency,4,Emergency,1,"high vegetation_encroachment_score, high peak_load_pct, high historical_outage_count_1yr"
F476,86.2,emergency,4,Emergency,1,"high vegetation_encroachment_score, high peak_load_pct, high historical_outage_count_1yr"
F019,85.9,emergency,4,Emergency,1,"high feeder_age_years, high peak_load_pct, high emergency_transformer_count"
F364,85.7,emergency,4,Emergency,1,"high feeder_age_years, high peak_load_pct, low vegetation_encroachment_score"
F434,84.6,emergency,4,Emergency,1,"high feeder_age_years, high peak_load_pct, high historical_outage_count_1yr"
F106,84.5,emergency,4,Emergency,1,"high vegetation_encroachment_score, high peak_load_pct, high feeder_age_years"
F335,84.3,emergency,4,Emergency,1,"high feeder_age_years, high emergency_transformer_count, high load_growth_rate"
F289,84.0,emergency,4,Emergency,1,"high feeder_age_years, high vegetation_encroachment_score, high protection_equipment_age"
F380,82.9,emergency,4,Emergency,1,"high peak_load_pct, high protection_equipment_age, high vegetation_encroachment_score"
F419,82.8,emergency,4,Emergency,1,"high vegetation_encroachment_score, high feeder_age_years, high load_growth_rate"
F465,82.6,emergency,4,Emergency,1,"high feeder_age_years, high vegetation_encroachment_score, high load_growth_rate"
F265,81.4,emergency,4,Emergency,1,"high feeder_age_years, high emergency_transformer_count, low peak_load_pct"
F399,81.3,emergency,4,Emergency,1,"high vegetation_encroachment_score, high feeder_age_years, high load_growth_rate"
