meter_id,declared_kwh,transformer_feed_estimate_kwh,historical_avg_kwh,pct_drop_recent,night_usage_ratio,area_theft_history_rate,is_theft,feed_vs_declared_ratio,anomaly_score,flagged,tier
M00001,89.6,88.2,90.7,0.115,0.354,0.121,0,0.9843750000000001,-0.17612014837073714,0,low
M00002,94.2,93.6,90.6,0.065,0.134,0.02,0,0.9936305732484075,-0.15207372916254935,0,medium
M00003,175.7,188.7,180.1,0.042,0.394,0.037,0,1.0739897552646556,-0.11496597870475866,0,high
M00004,111.0,118.2,121.1,0.024,0.129,0.074,0,1.0648648648648649,-0.1514160914901858,0,medium
M00005,94.0,108.1,97.9,0.062,0.192,0.062,0,1.15,-0.1691750159783061,0,low
M00006,152.5,158.3,143.0,0.1,0.384,0.27,0,1.038032786885246,-0.08385733561712794,0,high
M00007,80.6,74.5,79.1,0.049,0.244,0.02,0,0.9243176178660051,-0.14737452346690771,0,medium
M00008,39.7,39.8,46.0,0.086,0.264,0.076,0,1.0025188916876573,-0.1182394346031081,0,high
M00009,173.2,173.5,170.0,0.034,0.131,0.049,0,1.0017321016166283,-0.13937493299132242,0,medium
M00010,79.2,77.3,89.5,0.031,0.366,0.02,0,0.976010101010101,-0.14617897079554926,0,medium
M00011,105.5,118.4,112.2,0.012,0.236,0.055,0,1.1222748815165877,-0.15409588075003577,0,medium
M00012,41.4,46.2,34.5,0.106,0.298,0.03,0,1.1159420289855073,-0.10853009015945342,0,high
M00013,77.4,68.6,86.5,0.074,0.343,0.146,0,0.8863049095607234,-0.15238772499630937,0,medium
M00014,128.0,130.4,122.1,0.007,0.228,0.057,0,1.01875,-0.15743925035520262,0,low
M00015,92.5,89.4,105.8,0.031,0.188,0.143,0,0.9664864864864865,-0.1705816934602124,0,low
M00016,213.2,213.8,226.2,0.002,0.343,0.195,0,1.00281425891182,-0.037765776543844165,0,high
M00017,127.4,128.4,143.0,0.072,0.208,0.091,0,1.0078492935635792,-0.17967287227369694,0,low
M00018,106.2,111.1,109.5,0.1,0.335,0.215,0,1.0461393596986817,-0.14168730906430532,0,medium
M00019,65.5,74.3,59.5,0.066,0.363,0.097,0,1.1343511450381678,-0.1624159048433766,0,low
M00020,71.3,81.1,65.3,0.001,0.344,0.1,0,1.1374474053295933,-0.14412798741616345,0,medium
M00021,42.0,90.5,33.2,0.426,0.676,0.235,1,2.1547619047619047,0.06580143425256502,1,high
M00022,50.3,45.8,53.0,0.034,0.122,0.054,0,0.9105367793240556,-0.11384105091436947,0,high
M00023,89.3,92.9,96.6,0.076,0.141,0.286,0,1.040313549832027,-0.08217616550393608,0,high
M00024,155.4,153.1,162.4,0.077,0.382,0.114,0,0.9851994851994851,-0.16087420895219806,0,low
M00025,61.0,65.0,59.5,0.062,0.115,0.065,0,1.0655737704918034,-0.1329426496604479,0,medium
M00026,95.7,101.4,79.2,0.092,0.248,0.175,0,1.0595611285266457,-0.16354650849771413,0,low
M00027,54.4,89.6,48.5,0.442,0.407,0.18,1,1.6470588235294117,-0.002064836816934368,0,high
M00028,215.0,217.0,223.4,0.12,0.315,0.173,0,1.0093023255813953,-0.07129960475386676,0,high
M00029,73.6,77.2,68.6,0.029,0.355,0.065,0,1.048913043478261,-0.15590376998012928,0,medium
M00030,198.3,197.1,197.3,0.025,0.245,0.021,0,0.9939485627836611,-0.10854419822254452,0,high
M00031,96.0,89.5,88.8,0.054,0.327,0.033,0,0.9322916666666666,-0.16574114603150036,0,low
M00032,262.3,268.0,268.7,0.066,0.247,0.136,0,1.0217308425467022,-0.04753979215782733,0,high
