meter_id,declared_kwh,transformer_feed_estimate_kwh,historical_avg_kwh,pct_drop_recent,night_usage_ratio,area_theft_history_rate,meter_reversal_events_6mo,zero_consumption_days_90d,tamper_alarm_count,confirmed_incidents_nearby_12mo,feeder_id,cnc,substation_id,substation_name,meter_lat,meter_lon,is_theft
M00001,115.9,193.3,107.5,0.264,0.482,0.101,1,4,0,1,F253,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.85008,30.357,1
M00002,143.3,141.7,135.4,0.068,0.319,0.052,0,0,0,1,F327,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.72514,30.12017,0
M00003,33.4,66.3,43.5,0.211,0.584,0.19,0,5,0,1,F201,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,-23.95896,29.95255,1
M00004,181.9,155.4,188.9,0.034,0.177,0.099,0,0,0,5,F022,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80557,30.18783,0
M00005,164.4,148.9,159.1,0.0,0.258,0.087,0,0,0,0,F289,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.91156,30.2349,0
M00006,136.1,108.8,143.3,0.048,0.345,0.163,0,0,0,1,F011,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00702,29.93027,0
M00007,79.6,79.0,67.7,0.045,0.142,0.229,0,0,0,7,F139,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82728,30.16376,0
M00008,84.9,79.3,77.6,0.101,0.0,0.02,0,0,0,1,F420,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00838,29.93047,0
M00009,125.7,112.4,110.8,0.037,0.429,0.087,0,0,0,1,F233,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.98929,30.45141,0
M00010,74.0,76.8,78.2,0.075,0.333,0.081,0,2,0,1,F294,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.70459,30.11766,0
M00011,88.8,101.4,97.9,0.132,0.276,0.02,0,0,0,0,F483,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.81058,30.19558,0
