meter_id,anomaly_score,investigation_flag,theft_risk_pct,priority_tier,priority_tier_order,recommended_action,expected_kwh,actual_kwh,consumption_deviation_pct,feeder_id,cnc,substation_id,substation_name,confirmed_incidents_nearby_12mo,estimated_monthly_loss_rand,top_reasons
M08200,100.0,1,98.5,emergency,4,Dispatch field inspection within 24 hours,231.6,108.2,53.28151986183074,F075,Bolobedu,SS-BLB-02,Bolobedu Substation 2,8,321.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M00801,90.5,1,95.7,emergency,4,Dispatch field inspection within 24 hours,263.6,114.5,56.56297420333839,F186,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,3,388.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M02662,91.0,1,95.5,emergency,4,Dispatch field inspection within 24 hours,311.1,186.2,40.147862423658,F272,Politsi,SS-PLT-01,Politsi Substation 1,2,325.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M04399,91.4,1,95.3,emergency,4,Dispatch field inspection within 24 hours,47.0,20.3,56.80851063829787,F034,Tzaneen,SS-TZN-03,Tzaneen Substation 3,1,69.0,"high feed_vs_declared_ratio, high pct_drop_recent, high night_usage_ratio"
M08527,88.6,1,95.1,emergency,4,Dispatch field inspection within 24 hours,85.9,48.9,43.0733410942957,F069,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,0,96.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M03796,90.7,1,95.0,emergency,4,Dispatch field inspection within 24 hours,60.6,48.1,20.627062706270628,F027,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,3,32.0,"high zero_consumption_days_90d, high night_usage_ratio, high meter_reversal_events_6mo"
M01429,88.4,1,94.7,emergency,4,Dispatch field inspection within 24 hours,65.5,36.0,45.038167938931295,F002,Lenyenye,SS-LNY-02,Lenyenye Substation 2,2,77.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M06990,88.2,1,94.7,emergency,4,Dispatch field inspection within 24 hours,194.1,109.1,43.79185986604843,F006,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,5,221.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M02850,88.4,1,94.6,emergency,4,Dispatch field inspection within 24 hours,134.4,67.2,50.0,F363,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,0,175.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M01974,87.4,1,94.6,emergency,4,Dispatch field inspection within 24 hours,217.0,141.5,34.7926267281106,F381,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,1,196.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M03046,86.6,1,94.5,emergency,4,Dispatch field inspection within 24 hours,203.9,131.9,35.31142717018146,F300,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,6,187.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high pct_drop_recent"
M07685,86.5,1,94.5,emergency,4,Dispatch field inspection within 24 hours,240.6,132.4,44.970906068162925,F174,Lenyenye,SS-LNY-03,Lenyenye Substation 3,8,281.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M02821,89.0,1,94.4,emergency,4,Dispatch field inspection within 24 hours,27.1,21.9,19.18819188191883,F164,Lenyenye,SS-LNY-03,Lenyenye Substation 3,5,14.0,"high pct_drop_recent, high night_usage_ratio, high meter_reversal_events_6mo"
M00798,87.5,1,94.1,emergency,4,Dispatch field inspection within 24 hours,99.3,42.6,57.09969788519638,F011,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,0,147.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M06854,85.9,1,94.1,emergency,4,Dispatch field inspection within 24 hours,190.7,87.5,54.11641321447299,F234,Politsi,SS-PLT-03,Politsi Substation 3,6,268.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M08556,86.1,1,94.1,emergency,4,Dispatch field inspection within 24 hours,118.4,77.8,34.29054054054055,F492,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,5,106.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M06099,86.5,1,93.9,emergency,4,Dispatch field inspection within 24 hours,281.1,143.8,48.843827819281394,F431,Xihoko,SS-XHK-01,Xihoko Substation 1,0,357.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M02748,85.1,1,93.8,emergency,4,Dispatch field inspection within 24 hours,175.1,86.9,50.37121644774414,F051,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,8,229.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M02351,87.0,1,93.7,emergency,4,Dispatch field inspection within 24 hours,61.1,37.9,37.97054009819968,F261,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,5,60.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M02661,86.2,1,93.6,emergency,4,Dispatch field inspection within 24 hours,116.1,62.0,46.597760551248925,F211,Bolobedu,SS-BLB-03,Bolobedu Substation 3,5,141.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high night_usage_ratio"
M05441,84.5,1,93.4,emergency,4,Dispatch field inspection within 24 hours,79.4,76.9,3.1486146095717884,F031,Lenyenye,SS-LNY-03,Lenyenye Substation 3,2,6.0,"high zero_consumption_days_90d, high pct_drop_recent, high night_usage_ratio"
M00125,86.4,1,93.3,emergency,4,Dispatch field inspection within 24 hours,136.0,64.6,52.5,F083,Xihoko,SS-XHK-01,Xihoko Substation 1,7,186.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high pct_drop_recent"
M04520,83.6,1,93.2,emergency,4,Dispatch field inspection within 24 hours,255.7,146.5,42.70629644114196,F491,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,0,284.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M06789,84.5,1,93.2,emergency,4,Dispatch field inspection within 24 hours,89.8,78.4,12.69487750556792,F438,Xihoko,SS-XHK-01,Xihoko Substation 1,0,30.0,"high pct_drop_recent, high zero_consumption_days_90d, high night_usage_ratio"
M03379,84.0,1,93.1,emergency,4,Dispatch field inspection within 24 hours,79.0,46.1,41.64556962025316,F333,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,2,86.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high meter_reversal_events_6mo"
M02162,83.6,1,93.0,emergency,4,Dispatch field inspection within 24 hours,143.6,83.3,41.99164345403899,F066,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,7,157.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M02081,83.3,1,93.0,emergency,4,Dispatch field inspection within 24 hours,88.4,66.4,24.886877828054295,F441,Politsi,SS-PLT-03,Politsi Substation 3,1,57.0,"high zero_consumption_days_90d, high pct_drop_recent, high feed_vs_declared_ratio"
M04885,83.9,1,93.0,emergency,4,Dispatch field inspection within 24 hours,200.4,171.6,14.371257485029945,F143,Politsi,SS-PLT-02,Politsi Substation 2,0,75.0,"high zero_consumption_days_90d, high pct_drop_recent, high night_usage_ratio"
M08499,84.2,1,93.0,emergency,4,Dispatch field inspection within 24 hours,76.6,40.1,47.65013054830287,F423,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,1,95.0,"high feed_vs_declared_ratio, high pct_drop_recent, high meter_reversal_events_6mo"
M04687,83.6,1,92.7,emergency,4,Dispatch field inspection within 24 hours,154.6,63.5,58.92626131953428,F054,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,2,237.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M07799,83.4,1,92.6,emergency,4,Dispatch field inspection within 24 hours,65.0,30.7,52.76923076923077,F280,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,3,89.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M04650,83.3,1,92.3,emergency,4,Dispatch field inspection within 24 hours,72.9,36.7,49.65706447187929,F377,Lenyenye,SS-LNY-03,Lenyenye Substation 3,2,94.0,"high feed_vs_declared_ratio, high pct_drop_recent, high night_usage_ratio"
