transformer_id,transformer_name,feeder_id,cnc,substation_id,substation_name,age_years,load_factor,maintenance_score,oil_quality_index,temperature_rise_c,failure_within_1yr,pole_id,gps_lat,gps_lon,capacity_kva,installation_year,previous_failures,last_serviced_date,last_oil_replacement_date
T0001,Tzaneen Substation 1 TX-001,F045,Tzaneen,SS-TZN-01,Tzaneen Substation 1,21.1,0.641,0.601,0.635,60.0,1,POLE-TZN-00001,-23.82622,30.1613,1000,2005,0,2026-04-02,2026-04-01
T0002,Xihoko Substation 1 TX-001,F387,Xihoko,SS-XHK-01,Xihoko Substation 1,5.6,0.662,0.752,0.611,61.2,0,POLE-XHK-00002,-23.78819,30.36618,315,2020,1,2026-06-21,2025-12-11
T0003,Bolobedu Substation 1 TX-001,F328,Bolobedu,SS-BLB-01,Bolobedu Substation 1,21.4,0.488,0.945,0.839,57.6,0,POLE-BLB-00003,-23.95708,30.35208,315,2005,0,2026-04-06,2026-03-27
T0004,Xihoko Substation 1 TX-002,F220,Xihoko,SS-XHK-01,Xihoko Substation 1,3.6,0.597,0.764,0.698,53.5,0,POLE-XHK-00004,-23.78633,30.37567,100,2022,0,2026-04-15,2026-05-12
T0005,Politsi Substation 1 TX-001,F217,Politsi,SS-PLT-01,Politsi Substation 1,3.1,0.777,0.298,0.262,54.1,0,POLE-PLT-00005,-23.79768,30.06277,800,2023,2,2026-03-19,2026-04-02
T0006,Lenyenye Substation 1 TX-001,F430,Lenyenye,SS-LNY-01,Lenyenye Substation 1,12.1,0.575,0.501,0.684,51.4,0,POLE-LNY-00006,-23.95526,30.27158,1600,2014,0,2026-06-03,2026-02-27
T0007,Nkowankowa Substation 1 TX-001,F043,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,11.1,0.544,0.718,0.699,53.7,0,POLE-NKW-00007,-23.89584,30.24826,800,2015,0,2026-06-11,2025-08-08
T0008,Politsi Substation 2 TX-001,F349,Politsi,SS-PLT-02,Politsi Substation 2,9.7,0.301,0.923,0.729,45.1,0,POLE-PLT-00008,-23.82949,30.02726,50,2016,1,2026-06-07,2023-09-12
T0009,Ga-Kgapane Substation 3 TX-001,F101,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,8.3,0.557,0.368,0.466,48.7,0,POLE-GKG-00009,-23.85989,30.38977,1600,2018,0,2026-05-17,2026-04-18
T0010,Xihoko Substation 2 TX-001,F048,Xihoko,SS-XHK-02,Xihoko Substation 2,15.3,0.233,0.925,0.69,51.7,0,POLE-XHK-00010,-23.80279,30.29814,2000,2011,2,2026-06-12,2026-01-02
