transformer_id,age_years,load_factor,maintenance_score,oil_quality_index,temperature_rise_c,failure_within_1yr,failure_score,predicted_failure,tier
T0001,13.9,0.491,0.31,0.496,50.0,0,0.05,0,medium
T0002,18.5,0.912,0.782,0.545,67.7,1,0.79,1,high
T0003,12.3,0.4,0.918,0.667,46.1,0,0.04,0,medium
T0004,11.1,0.556,0.792,0.73,49.8,0,0.03,0,medium
T0005,20.1,0.616,0.127,0.246,72.9,1,0.94,1,high
T0006,11.8,0.396,0.891,0.889,48.4,0,0.0,0,low
T0007,15.5,0.565,0.454,0.588,62.8,0,0.07,0,medium
T0008,14.5,0.434,0.56,0.429,58.2,0,0.01,0,low
T0009,20.1,0.772,0.846,0.777,63.0,0,0.07,0,medium
T0010,9.8,0.561,0.461,0.38,48.4,1,0.66,1,high
T0011,24.5,0.377,0.233,0.425,59.8,1,0.8,1,high
T0012,8.0,0.445,0.663,0.596,48.8,0,0.01,0,low
T0013,16.2,0.359,0.935,0.774,55.8,0,0.01,0,low
T0014,14.9,0.363,0.608,0.614,49.4,0,0.11,0,high
T0015,7.5,0.541,0.649,0.718,50.8,0,0.0,0,low
T0016,17.0,0.511,0.657,0.775,54.7,0,0.0,0,low
T0017,10.3,0.367,0.636,0.723,53.0,0,0.0,0,low
T0018,5.7,0.73,0.49,0.627,53.5,1,0.6,1,high
T0019,18.5,0.571,0.611,0.673,61.7,0,0.02,0,medium
T0020,4.1,0.475,0.644,0.612,39.3,0,0.0,0,low
T0021,6.6,0.478,0.23,0.461,44.1,0,0.01,0,low
T0022,12.2,0.39,0.729,0.779,36.4,0,0.0,0,low
T0023,20.0,0.804,0.692,0.722,66.6,0,0.06,0,medium
T0024,17.7,0.921,0.468,0.517,71.0,1,0.73,1,high
T0025,13.7,0.759,0.26,0.41,68.0,1,0.89,1,high
T0026,3.0,0.933,0.529,0.618,53.8,0,0.14,0,high
T0027,7.8,0.508,0.204,0.309,53.5,1,0.61,1,high
T0028,9.1,0.727,0.686,0.573,56.5,0,0.0,0,low
T0029,5.5,0.165,0.845,0.838,45.1,0,0.01,0,low
T0030,2.3,0.663,0.531,0.629,59.1,0,0.05,0,medium
T0031,12.6,0.562,0.711,0.489,61.1,0,0.07,0,medium
T0032,18.1,0.204,0.366,0.561,52.9,0,0.01,0,low
T0033,8.6,0.497,0.422,0.481,60.1,0,0.19,0,high
T0034,19.8,0.911,0.415,0.566,66.5,1,0.85,1,high
T0035,3.7,0.36,0.52,0.529,44.6,0,0.0,0,low
T0036,5.2,0.783,0.461,0.554,55.7,0,0.1,0,medium
T0037,12.4,0.356,0.594,0.642,44.8,0,0.0,0,low
T0038,8.0,0.812,0.599,0.6,57.0,0,0.02,0,medium
T0039,17.2,0.613,0.8,0.769,50.4,1,0.66,1,high
T0040,15.4,0.398,0.449,0.419,61.6,0,0.13,0,high
T0041,8.5,0.882,0.928,0.747,59.8,0,0.09,0,medium
T0042,4.0,0.335,0.297,0.427,55.2,0,0.05,0,medium
T0043,7.8,0.564,0.845,0.712,42.1,0,0.01,0,low
T0044,15.6,0.738,0.447,0.523,71.7,0,0.14,0,high
T0045,17.6,0.239,0.553,0.689,41.6,0,0.0,0,low
T0046,8.1,0.183,0.711,0.553,38.9,0,0.0,0,low
T0047,2.3,0.603,0.907,0.864,42.0,0,0.01,0,low
T0048,3.5,0.517,0.348,0.462,57.7,0,0.06,0,medium
T0049,14.8,0.401,0.366,0.489,56.0,0,0.08,0,medium
T0050,8.4,0.475,0.651,0.734,47.0,0,0.0,0,low
T0051,8.5,0.195,0.555,0.59,40.8,0,0.0,0,low
T0052,5.2,0.337,0.472,0.606,38.7,0,0.0,0,low
T0053,5.1,0.388,0.173,0.445,55.2,0,0.1,0,medium
T0054,19.6,0.546,0.867,0.749,60.3,0,0.03,0,medium
T0055,15.2,0.5,0.728,0.7,60.2,0,0.02,0,medium
T0056,7.0,0.603,0.859,0.653,53.7,0,0.05,0,medium
T0057,11.8,0.678,0.893,0.696,42.3,0,0.01,0,low
T0058,13.2,0.832,0.54,0.514,56.8,0,0.04,0,medium
T0059,30.1,0.305,0.741,0.74,59.8,0,0.0,0,low
T0060,4.7,0.617,0.56,0.467,52.1,0,0.09,0,medium
T0061,13.1,0.77,0.65,0.683,55.7,0,0.0,0,low
T0062,19.5,0.898,0.935,0.903,55.7,0,0.06,0,medium
T0063,28.0,0.24,0.603,0.581,62.4,0,0.15,0,high
T0064,6.7,0.469,0.652,0.568,52.4,0,0.0,0,low
T0065,8.3,0.691,0.53,0.598,57.9,0,0.0,0,low
T0066,17.3,0.723,0.431,0.523,59.7,1,0.73,1,high
T0067,3.0,0.948,0.852,0.789,55.3,0,0.0,0,low
T0068,14.0,0.733,0.31,0.505,54.7,1,0.73,1,high
T0069,35.0,0.561,0.297,0.506,69.6,1,0.93,1,high
T0070,15.0,0.77,0.871,0.748,45.8,0,0.04,0,medium
T0071,1.2,0.212,0.302,0.334,37.6,0,0.12,0,high
T0072,5.8,0.808,0.468,0.495,56.7,0,0.06,0,medium
T0073,6.9,0.728,0.612,0.526,68.5,0,0.11,0,high
T0074,22.4,0.311,0.357,0.535,47.7,0,0.04,0,medium
T0075,9.9,0.538,0.822,0.637,46.1,0,0.01,0,low
T0076,2.3,0.905,0.698,0.707,55.7,0,0.0,0,low
T0077,10.8,0.536,0.448,0.543,63.3,0,0.03,0,medium
T0078,12.3,0.507,0.811,0.658,53.7,0,0.02,0,medium
T0079,7.6,0.73,0.717,0.798,55.8,0,0.0,0,low
T0080,5.0,0.511,0.769,0.778,44.5,0,0.0,0,low
T0081,35.0,0.467,0.681,0.677,62.5,1,0.74,1,high
T0082,19.6,0.935,0.139,0.368,72.1,1,0.92,1,high
T0083,20.7,0.329,0.359,0.434,54.5,0,0.18,0,high
T0084,10.0,0.769,0.506,0.56,62.4,0,0.12,0,high
T0085,6.6,0.632,0.639,0.488,47.1,0,0.06,0,medium
T0086,7.9,0.414,0.352,0.511,55.1,0,0.05,0,medium
