transformer_id,month_offset,oil_quality_index,temperature_rise_c,load_factor
T0001,0,0.571,61.5,0.742
T0001,1,0.614,61.2,0.738
T0001,2,0.574,61.0,0.743
T0001,3,0.568,62.0,0.75
T0001,4,0.576,60.2,0.692
T0001,5,0.603,60.1,0.716
T0001,6,0.627,59.3,0.75
T0001,7,0.637,60.4,0.696
T0001,8,0.612,61.0,0.7
T0001,9,0.648,60.6,0.668
T0001,10,0.627,60.9,0.636
T0001,11,0.644,60.2,0.623
T0002,0,0.509,66.9,0.701
T0002,1,0.53,65.8,0.648
T0002,2,0.538,63.6,0.674
T0002,3,0.546,64.9,0.643
T0002,4,0.566,62.7,0.628
T0002,5,0.567,65.1,0.658
T0002,6,0.583,62.4,0.694
T0002,7,0.594,60.1,0.656
T0002,8,0.554,61.5,0.648
T0002,9,0.578,63.7,0.69
T0002,10,0.577,59.1,0.641
T0002,11,0.604,58.5,0.678
T0003,0,0.863,68.4,0.599
T0003,1,0.848,66.6,0.53
T0003,2,0.876,66.7,0.563
T0003,3,0.844,66.6,0.524
T0003,4,0.876,62.2,0.551
T0003,5,0.838,62.6,0.522
T0003,6,0.833,60.5,0.489
T0003,7,0.848,61.4,0.541
T0003,8,0.877,60.2,0.49
T0003,9,0.848,59.1,0.468
T0003,10,0.822,57.1,0.492
T0003,11,0.832,56.6,0.502
T0004,0,0.829,50.1,0.736
T0004,1,0.788,52.9,0.713
T0004,2,0.799,48.7,0.723
T0004,3,0.79,51.1,0.684
T0004,4,0.762,51.0,0.679
T0004,5,0.779,47.3,0.672
T0004,6,0.732,51.1,0.674
T0004,7,0.74,52.5,0.645
T0004,8,0.728,50.0,0.614
T0004,9,0.731,53.6,0.662
T0004,10,0.717,53.1,0.61
T0004,11,0.654,52.3,0.597
T0005,0,0.279,44.4,0.784
T0005,1,0.222,45.6,0.801
T0005,2,0.235,46.1,0.82
T0005,3,0.251,48.3,0.803
T0005,4,0.256,50.3,0.821
T0005,5,0.294,51.4,0.755
T0005,6,0.244,48.2,0.799
T0005,7,0.239,51.5,0.778
T0005,8,0.245,51.0,0.745
T0005,9,0.271,49.6,0.798
T0005,10,0.26,53.0,0.823
T0005,11,0.225,57.3,0.784
T0006,0,0.713,49.5,0.599
T0006,1,0.703,50.0,0.585
T0006,2,0.706,51.1,0.61
T0006,3,0.723,51.5,0.625
T0006,4,0.664,52.0,0.558
T0006,5,0.711,49.8,0.585
T0006,6,0.756,50.2,0.569
T0006,7,0.686,52.4,0.54
T0006,8,0.695,50.8,0.571
T0006,9,0.722,50.9,0.565
T0006,10,0.671,51.9,0.633
T0006,11,0.711,52.5,0.586
T0007,0,0.768,48.5,0.473
T0007,1,0.792,49.1,0.508
T0007,2,0.754,49.8,0.559
T0007,3,0.73,49.6,0.551
T0007,4,0.764,51.0,0.543
T0007,5,0.77,51.7,0.542
T0007,6,0.77,50.6,0.496
T0007,7,0.754,52.3,0.539
T0007,8,0.741,51.3,0.514
T0007,9,0.711,51.2,0.523
T0007,10,0.718,54.4,0.55
T0007,11,0.696,54.4,0.521
T0008,0,0.785,42.2,0.271
T0008,1,0.83,43.2,0.268
T0008,2,0.773,45.3,0.24
T0008,3,0.81,43.9,0.268
T0008,4,0.817,44.4,0.256
T0008,5,0.803,45.3,0.272
T0008,6,0.774,45.9,0.281
T0008,7,0.79,43.6,0.264
T0008,8,0.754,47.5,0.3
T0008,9,0.747,44.8,0.265
T0008,10,0.744,44.2,0.285
T0008,11,0.734,46.6,0.313
T0009,0,0.334,45.0,0.472
T0009,1,0.389,44.2,0.513
T0009,2,0.349,45.5,0.476
T0009,3,0.395,44.4,0.527
T0009,4,0.405,45.2,0.508
T0009,5,0.347,45.7,0.53
T0009,6,0.393,47.5,0.528
T0009,7,0.422,46.7,0.539
T0009,8,0.413,52.5,0.544
T0009,9,0.449,47.4,0.544
T0009,10,0.454,45.6,0.546
T0009,11,0.424,48.3,0.538
T0010,0,0.8,51.9,0.137
T0010,1,0.782,54.9,0.111
T0010,2,0.737,51.6,0.152
T0010,3,0.719,50.8,0.144
T0010,4,0.719,52.5,0.149
T0010,5,0.726,50.6,0.206
T0010,6,0.727,50.9,0.218
T0010,7,0.728,52.4,0.211
T0010,8,0.688,51.1,0.251
T0010,9,0.755,52.5,0.18
T0010,10,0.745,55.7,0.213
T0010,11,0.682,53.4,0.241
T0011,0,0.327,71.4,0.426
T0011,1,0.323,75.2,0.457
T0011,2,0.358,72.9,0.44
T0011,3,0.354,71.7,0.41
T0011,4,0.336,71.6,0.452
T0011,5,0.332,70.9,0.421
T0011,6,0.328,68.9,0.454
T0011,7,0.367,67.0,0.418
T0011,8,0.381,68.4,0.413
T0011,9,0.333,63.8,0.406
T0011,10,0.329,62.3,0.443
T0011,11,0.342,61.6,0.385
T0012,0,0.467,50.8,0.329
T0012,1,0.503,54.5,0.314
T0012,2,0.501,51.2,0.359
T0012,3,0.513,53.8,0.34
T0012,4,0.531,54.0,0.373
T0012,5,0.511,52.4,0.308
T0012,6,0.51,53.7,0.383
T0012,7,0.566,54.2,0.344
T0012,8,0.567,55.5,0.357
T0012,9,0.559,54.4,0.414
T0012,10,0.546,54.7,0.4
T0012,11,0.592,53.7,0.373
T0013,0,0.485,51.7,0.13
T0013,1,0.513,50.4,0.12
T0013,2,0.512,52.8,0.127
T0013,3,0.484,53.1,0.125
T0013,4,0.548,53.5,0.181
T0013,5,0.579,53.5,0.206
T0013,6,0.565,56.3,0.184
T0013,7,0.543,54.5,0.214
T0013,8,0.566,55.0,0.24
T0013,9,0.57,56.7,0.243
T0013,10,0.588,57.5,0.246
T0013,11,0.578,58.9,0.255
T0014,0,0.591,53.0,0.402
T0014,1,0.621,54.4,0.411
T0014,2,0.648,57.7,0.442
T0014,3,0.643,58.0,0.42
T0014,4,0.65,58.3,0.438
T0014,5,0.652,60.6,0.505
T0014,6,0.661,59.0,0.506
T0014,7,0.678,61.0,0.518
T0014,8,0.672,61.6,0.516
T0014,9,0.712,63.6,0.533
T0014,10,0.681,62.1,0.553
T0014,11,0.679,64.8,0.527
T0015,0,0.618,70.9,0.542
T0015,1,0.663,69.7,0.531
T0015,2,0.684,68.1,0.556
T0015,3,0.654,65.5,0.54
T0015,4,0.66,63.2,0.558
T0015,5,0.687,63.7,0.518
T0015,6,0.711,62.7,0.555
T0015,7,0.725,61.5,0.568
T0015,8,0.708,61.4,0.574
T0015,9,0.727,59.9,0.57
